Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas1             Pavarde1          10          9          1          2          6
Vardas2             Pavarde2          5          2          1          3          2
Vardas3             Pavarde3          1          1          10          9          9
Vardas4             Pavarde4          7          1          8          7          5
Vardas5             Pavarde5          3          2          6          4          9
Vardas6             Pavarde6          10          3          2          2          4
Vardas7             Pavarde7          10          10          3          8          4
Vardas8             Pavarde8          1          9          5          7          9
Vardas9             Pavarde9          1          3          10          2          3
Vardas10             Pavarde10          4          1          8          7          8
Vardas11             Pavarde11          3          2          9          2          8
Vardas12             Pavarde12          8          8          7          7          5
Vardas13             Pavarde13          10          1          5          5          3
Vardas14             Pavarde14          9          7          8          6          4
Vardas15             Pavarde15          10          9          1          5          7
Vardas16             Pavarde16          7          5          8          5          7
Vardas17             Pavarde17          6          4          2          10          2
Vardas18             Pavarde18          9          3          7          5          10
Vardas19             Pavarde19          9          4          5          8          5
Vardas20             Pavarde20          7          5          10          2          9
Vardas21             Pavarde21          2          2          9          2          1
Vardas22             Pavarde22          6          9          10          1          6
Vardas23             Pavarde23          6          10          5          3          6
Vardas24             Pavarde24          9          3          2          9          3
Vardas25             Pavarde25          1          10          6          9          5
Vardas26             Pavarde26          5          1          8          6          9
Vardas27             Pavarde27          6          3          2          8          5
Vardas28             Pavarde28          4          5          9          7          1
Vardas29             Pavarde29          10          8          7          4          10
Vardas30             Pavarde30          1          2          10          6          5
Vardas31             Pavarde31          4          10          3          10          8
Vardas32             Pavarde32          1          2          1          3          7
Vardas33             Pavarde33          2          5          10          2          7
Vardas34             Pavarde34          10          8          1          6          10
Vardas35             Pavarde35          1          9          2          3          10
Vardas36             Pavarde36          7          3          9          5          7
Vardas37             Pavarde37          5          3          2          9          10
Vardas38             Pavarde38          7          8          9          10          8
Vardas39             Pavarde39          10          5          5          6          8
Vardas40             Pavarde40          5          10          7          3          2
Vardas41             Pavarde41          4          7          2          4          9
